BASE_DATE,SIDO_CD,SIDO_NM,역번호,역사명,노선번호,노선명,역위도,역경도,역사도로명주소
20240630,31,경기도,1863,구성역,I4105,분당선,37.299013,127.105664,경기도 용인시 기흥구 용구대로 2403
20240630,31,경기도,1865,기흥역,I4105,분당선,37.275657,127.115944,경기도 용인시 중부대로 460
20240630,31,경기도,1869,망포역,I4105,분당선,37.245793,127.057367,경기도 수원시 영통구 봉영로 지하 1520
20240630,31,경기도,1872,매교역,I4105,분당선,37.265502,127.015657,경기도 수원시 팔달구 효원로 126
20240630,31,경기도,1870,매탄권선역,I4105,분당선,37.252458,127.040824,경기도 수원시 영통구 권선로 841
20240630,31,경기도,1853,모란역,I4105,분당선,37.432124,127.129064,경기도 성남시 중원구 성남대로 지하 1147(성남동 1575)
20240630,31,경기도,1858,미금역,I4105,분당선,37.350078,127.108952,경기도 성남시 수정구 성남대로 지하 156
20240630,31,경기도,1861,보정역,I4105,분당선,37.31274,127.108219,경기도 용인시 기흥구 용구대로 2560  
,,,,,,,,,
20240630,31,경기도,1866,상갈역,I4105,분당선,37.261797,127.108718,경기도 용인시 기흥구 금화로 지하 40
20240630,31,경기도,1855,서현역,I4105,분당선,37.384931,127.123249,경기도 성남시 분당구 성남대로 지하 601
20240630,31,경기도,1856,수내역,I4105,분당선,37.378435,127.114216,경기도 성남시 분당구 성남대로 지하 491(수내동)
20240630,31,경기도,1871,수원시청역,I4105,분당선,37.261941,127.030736,경기도 수원시 권선구 효원로 270
20240630,31,경기도,1846,수원역(분당),I4105,분당선,37.266162,126.999821,경기도 수원시 팔달구 덕영대로 944
20240630,31,경기도,1864,신갈역,I4105,분당선,37.286127,127.111311,경기도 용인시 기흥구 기흥로 136
20240630,31,경기도,1854,야탑역,I4105,분당선,37.41132,127.128661,경기도 성남시 성남대로 지하 903(야탑동 688-1)
20240630,31,경기도,1868,영통역,I4105,분당선,37.251521,127.071341,경기도 수원시 영통구 봉영로 지하 1560
